,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e
14,17x17,1.6743486382110218,0.23476582680517957,9.105967634701459e-19,1.7729519537129268,0.22629945109640084,1.9742254351762724e-18,1.7729519537254912,0.22629945109893213,1.974225435482701e-18
15,18x18,1.7377784706813406,0.1979354360651099,9.769518933519419e-21,1.5869217282484165,0.17919857074774548,8.184179352382818e-21,1.5869217282584853,0.17919857074869294,8.184179353498666e-21
16,19x19,1.8375466348726275,0.21210073842259455,5.862527563752228e-22,1.7948722164472055,0.20697555826749012,5.268849284547513e-22,1.7848334328406095,0.20877271820422463,4.990235544079424e-22
17,20x20,1.7013837459209564,0.22056813470160075,1.1710482043653565e-24,1.5345547324089945,0.18583679601765768,1.925139738259142e-24,1.536315651550458,0.19021710382723803,1.9170386559195786e-24
18,21x21,1.6990680695391478,0.19279432456471204,4.3912200016762334e-26,1.602009305426477,0.1771617459099444,7.162811345889594e-26,1.6020093054558697,0.17716174592115264,7.162811349137956e-26
19,22x22,2.038322091553843,0.2098056510833571,1.057838721100771e-25,1.8049516732065372,0.15920961704952605,5.643920480153717e-26,1.9585340246437364,0.20568296737237224,1.0514719310238742e-25
20,23x23,1.658272863057803,0.17100766293239436,1.356394405360243e-28,1.6575879466803674,0.14378043681840186,2.655629710703006e-28,1.6627142601486296,0.14686601799334212,2.5461087634800995e-28
21,24x24,1.638978090700749,0.17102262602016657,1.5867481037586205e-31,1.4803965197244193,0.14351404993619948,5.948596446029421e-32,1.6651559284606665,0.17654105079487376,1.2981634033337313e-31
22,25x25,1.9043661162416534,0.19797588496524848,2.4113069608031364e-32,1.516514528859259,0.16526613181174035,6.998230140228224e-33,1.86565573694865,0.22827139857946313,4.4155457459303287e-32
23,26x26,2.0273301599071476,0.16564175703239423,2.2694723962182938e-32,1.8779065430006003,0.15338644760736808,1.1814227460086993e-31,1.9600007277845688,0.16547853360259798,1.5573883538742622e-31
24,27x27,2.243517858281473,0.16573797513035463,9.46512407872285e-32,2.24893275326757,0.16671767393181472,9.480208046177507e-32,2.3003529093697086,0.17421694393235998,1.0289283897381885e-31
25,28x28,1.7994277685206783,0.1664603259086996,5.397411221343268e-37,1.8300981190192838,0.20108692932007968,1.3002606123492445e-36,1.8664386502025259,0.21729737214087125,1.2521407800397312e-36
26,29x29,1.60276621022433,0.13928114814196374,4.6914802200473946e-40,1.7766025843773883,0.15937292138672057,3.7999319692981914e-39,1.7085512493157093,0.1586265783830325,2.003224224688382e-39
27,30x30,2.137714190598192,0.19725031411768484,2.2262828241233183e-38,2.080099554736979,0.16922899607654973,4.483643830178905e-38,2.229643710002819,0.20860531745083052,4.1413922674709624e-38
28,31x31,2.1504680083132177,0.13743378041488552,5.566374964767749e-39,2.1388675011579172,0.12686661738226385,6.697701636952413e-39,2.157165888536153,0.14426624209167066,5.0252178936012237e-39
29,32x32,1.6626189522687709,0.14014977962257877,9.766394700286529e-45,1.6926673553122098,0.14122806840809926,5.996911181020922e-44,1.7122477006046313,0.15126102416722503,5.789648377919683e-44
30,33x33,,,,,,,,,
31,34x34,2.1354450545442822,0.13729991188246438,9.892668609341942e-46,1.970443836801859,0.16692746310545944,7.233490948267419e-46,1.9710988772523355,0.16938050767552026,6.069313774744745e-46
32,35x35,,,,,,,,,
33,36x36,1.9767421116951032,0.16373577006170859,5.962081444322573e-50,1.731058923642587,0.12895534758276808,2.9692213870422124e-50,1.860577842812871,0.15964920369135022,5.75073057307345e-50
34,37x37,2.0465988663252266,0.14615746773250382,3.05748184490963e-51,1.9300919574304731,0.13302075374312197,1.7691066554543067e-51,1.6758072255495493,0.10211913148840068,6.881262926564644e-53
35,38x38,2.0235528068289526,0.13227022205906677,2.904779815263797e-52,1.9514322095570764,0.1273098544306208,2.058300459530583e-52,2.100357269230453,0.13587887806030968,2.4818583955962587e-52
36,39x39,2.0325744098853584,0.17493586554273627,2.0435259444620207e-54,2.1789633382488516,0.15756924246421908,8.210363594456682e-54,2.204483061678563,0.1577826375074276,5.0699966308378816e-54
37,40x40,2.09825962808426,0.1685801884920249,7.036187395392038e-57,1.8797561753903578,0.11652645183570219,5.676032159808452e-57,1.8997254849096414,0.12443265802393906,3.6844984239966455e-57
38,41x41,2.2225419442391527,0.13874902584250404,2.5567533522427442e-56,2.1822928604535723,0.13373132148725395,2.8694306800866283e-56,2.179839650574554,0.1355490292555112,2.2889318149833243e-56
39,42x42,1.833285129162408,0.11766977533887678,3.6570021395370684e-61,1.8103363905509164,0.1479601797255297,1.5158721727677652e-61,2.0096671371633215,0.1424868007095692,1.8184352891515522e-60
40,43x43,2.327025032106265,0.1667461816767732,9.087659270347982e-61,2.2945645675221313,0.16206571656739258,9.827047255065127e-61,2.216972479691622,0.17565925491994372,3.8631550022037125e-61
41,44x44,1.9975144038541899,0.11791683416770014,8.328846570016879e-64,1.9896419588087446,0.11575864006339114,1.0208885000082693e-63,2.00700715655168,0.12370435644902761,8.44331497768894e-64
42,45x45,1.9129397421788437,0.09160959531616328,2.1040859814159066e-65,1.8974821503143218,0.09229718299018154,1.9012213949433478e-65,1.9416050197822539,0.09276767058321272,1.814785876575627e-65
